Date,"('CLOSE', 'USO')","('HIGH', 'USO')","('LOW', 'USO')","('OPEN', 'USO')","('VOLUME', 'USO')"
2023-04-14,72.089996,72.449997,71.339996,72.059998,3170400
2023-04-17,70.839996,71.849998,70.480003,71.660004,2985700
2023-04-18,70.730003,71.360001,70.089996,70.919998,1468800
2023-04-19,69.300003,69.980003,68.860001,69.720001,3621100
2023-04-20,67.599998,68.339996,67.510002,67.860001,3486800
2023-04-21,68.209999,68.720001,67.910004,68.580002,2620200
2023-04-24,69.250000,69.599998,68.110001,68.290001,1924400
2023-04-25,67.620003,68.570000,67.260002,68.540001,2262600
2023-04-26,65.360001,67.830002,65.199997,67.180000,5692100
2023-04-27,65.809998,66.209999,65.160004,65.830002,2752700
2023-04-28,67.500000,67.599998,65.529999,65.849998,3043600
2023-05-01,66.550003,66.930000,65.620003,66.339996,2939000
2023-05-02,63.049999,65.500000,62.990002,65.480003,6535700
2023-05-03,60.310001,61.389999,60.160000,61.310001,12166700
2023-05-04,60.700001,61.660000,59.779999,60.500000,4997400
2023-05-05,63.029999,63.340000,62.610001,62.730000,4700000
2023-05-08,64.260002,64.889999,64.050003,64.750000,3454600
2023-05-09,64.870003,65.150002,63.099998,63.840000,5831500
2023-05-10,64.389999,64.800003,63.590000,64.800003,2683700
2023-05-11,63.250000,63.619999,62.619999,63.259998,4023300
2023-05-12,62.070000,63.500000,61.939999,63.209999,4070800
2023-05-15,62.990002,63.459999,62.369999,62.700001,4837800
2023-05-16,62.540001,63.540001,62.450001,63.110001,1987100
2023-05-17,64.599998,64.989998,63.060001,63.869999,4276000
2023-05-18,64.040001,64.400002,63.580002,64.320000,2496600
2023-05-19,63.900002,64.660004,63.250000,64.610001,2490200
2023-05-22,63.910000,64.330002,63.360001,63.590000,1645000
2023-05-23,64.870003,65.400002,64.500000,64.639999,3409700
2023-05-24,65.660004,66.239998,64.940002,65.959999,3775800
2023-05-25,64.089996,64.699997,63.209999,64.459999,4322700
2023-05-26,64.800003,64.989998,64.360001,64.900002,2145100
2023-05-30,62.299999,62.970001,61.700001,62.849998,6442600
2023-05-31,60.630001,62.090000,60.610001,61.480000,4040700
2023-06-01,62.549999,63.369999,60.630001,60.660000,3631400
2023-06-02,64.150002,64.360001,63.459999,64.099998,6937900
2023-06-05,64.029999,65.410004,64.019997,65.370003,3038400
2023-06-06,63.790001,64.430000,63.009998,63.080002,2569500
2023-06-07,64.709999,65.209999,64.209999,64.489998,3520500
2023-06-08,63.459999,64.940002,61.820000,64.889999,8579200
2023-06-09,62.930000,64.190002,62.790001,63.639999,3354100
2023-06-12,60.240002,61.230000,60.020000,61.000000,5985300
2023-06-13,62.139999,62.650002,61.990002,62.090000,3473500
2023-06-14,61.830002,63.200001,61.259998,63.000000,4818600
2023-06-15,63.410000,63.770000,62.139999,62.209999,3445600
2023-06-16,64.349998,64.529999,63.279999,63.480000,2974000
2023-06-20,63.919998,63.959999,62.610001,63.750000,2313600
2023-06-21,65.040001,65.089996,63.700001,63.830002,2725500
2023-06-22,62.520000,63.650002,62.139999,63.150002,3875200
2023-06-23,62.419998,62.490002,60.970001,61.040001,2413600
2023-06-26,62.730000,63.139999,62.080002,62.150002,2084500
2023-06-27,61.299999,62.630001,61.099998,62.330002,2610100
2023-06-28,62.520000,62.939999,60.869999,61.470001,2461500
2023-06-29,62.959999,63.639999,62.250000,62.750000,1992200
2023-06-30,63.549999,63.970001,63.150002,63.349998,3133400
2023-07-03,63.389999,64.110001,63.119999,63.820000,1220800
2023-07-05,64.629997,64.849998,63.900002,64.660004,2965600
2023-07-06,64.440002,64.559998,63.119999,64.330002,2372000
2023-07-07,65.849998,66.050003,64.139999,64.139999,2784600
2023-07-10,65.540001,66.309998,65.160004,65.629997,2449000
2023-07-11,67.029999,67.050003,65.889999,66.029999,2346500
2023-07-12,67.870003,67.970001,67.260002,67.620003,3046200
2023-07-13,69.089996,69.099998,67.529999,67.790001,3608700
2023-07-14,67.470001,68.570000,67.360001,68.529999,2400600
2023-07-17,66.580002,67.400002,66.529999,66.849998,2280800
2023-07-18,67.959999,68.120003,66.650002,66.790001,2547400
2023-07-19,67.690002,68.919998,67.489998,68.389999,1935000
2023-07-20,68.050003,68.489998,67.129997,68.330002,2031400
2023-07-21,68.989998,69.309998,68.169998,68.519997,2993300
2023-07-24,70.690002,70.930000,69.290001,69.610001,2420200
2023-07-25,71.160004,71.410004,70.269997,70.400002,2340100
2023-07-26,70.660004,71.309998,70.410004,70.589996,1384300
2023-07-27,71.430000,71.989998,70.720001,71.160004,1807200
2023-07-28,72.089996,72.239998,70.870003,71.320000,1751500
2023-07-31,73.169998,73.290001,72.559998,72.750000,2068900
2023-08-01,72.959999,73.190002,72.169998,72.680000,1480900
2023-08-02,71.480003,72.739998,70.879997,72.669998,3170000
2023-08-03,73.139999,73.250000,71.699997,71.699997,2921700
2023-08-04,73.790001,74.290001,72.940002,73.220001,2016600
2023-08-07,73.820000,73.870003,73.040001,73.760002,1858800
2023-08-08,74.059998,74.269997,72.040001,72.470001,4218700
2023-08-09,75.099998,75.360001,74.209999,74.779999,4777100
2023-08-10,74.199997,75.089996,73.959999,74.660004,3443900
2023-08-11,74.250000,74.809998,73.949997,74.139999,3137800
2023-08-14,73.809998,74.220001,73.349998,73.690002,3545400
2023-08-15,72.620003,73.260002,72.180000,73.250000,3907500
2023-08-16,71.370003,73.150002,71.290001,72.900002,3789600
2023-08-17,71.980003,72.820000,71.919998,72.570000,2647600
2023-08-18,72.790001,73.059998,71.910004,72.180000,2734900
2023-08-21,72.580002,73.510002,72.419998,73.419998,2085600
2023-08-22,72.279999,72.870003,72.059998,72.760002,1655000
2023-08-23,71.360001,72.000000,70.430000,70.800003,3836900
2023-08-24,71.410004,71.730003,70.449997,70.879997,2368700
2023-08-25,72.449997,72.660004,70.820000,72.620003,3106000
2023-08-28,72.410004,73.129997,72.110001,72.400002,1618700
2023-08-29,73.320000,73.349998,71.790001,72.660004,2890400
2023-08-30,73.660004,74.010002,73.059998,73.730003,2228100
2023-08-31,75.059998,75.180000,73.949997,74.480003,2900700
2023-09-01,76.919998,76.940002,75.940002,76.000000,4205600
2023-09-05,77.760002,78.779999,77.389999,78.070000,4782200
2023-09-06,78.519997,78.769997,77.419998,77.599998,3159800
2023-09-07,77.949997,78.500000,77.440002,78.150002,2671400
2023-09-08,78.300003,78.730003,77.879997,78.139999,2039000
2023-09-11,78.370003,79.120003,78.139999,78.930000,2083800
2023-09-12,79.699997,80.010002,79.309998,79.360001,3308800
2023-09-13,79.680000,80.040001,79.230003,79.860001,2783800
2023-09-14,81.120003,81.139999,80.529999,80.660004,3098900
2023-09-15,81.290001,81.339996,80.089996,80.290001,2874500
2023-09-18,81.449997,81.940002,80.800003,81.790001,5940800
2023-09-19,81.500000,82.279999,81.120003,82.180000,6657100
2023-09-20,80.139999,81.589996,80.129997,80.559998,4117600
2023-09-21,80.410004,81.510002,80.400002,81.250000,3095900
2023-09-22,80.629997,81.599998,79.989998,81.550003,2704300
2023-09-25,80.389999,80.650002,79.669998,80.589996,1918300
2023-09-26,80.879997,81.050003,79.889999,79.970001,2522700
2023-09-27,82.900002,83.290001,82.050003,82.239998,4257900
2023-09-28,81.570000,82.610001,81.220001,82.320000,3169000
2023-09-29,80.860001,81.940002,80.470001,81.900002,2399700
2023-10-02,79.389999,81.279999,79.190002,81.180000,3492100
2023-10-03,79.930000,80.370003,79.250000,79.809998,2899300
2023-10-04,75.589996,77.970001,75.220001,77.970001,7853800
2023-10-05,73.989998,75.449997,73.610001,74.110001,5599100
2023-10-06,74.160004,74.570000,73.339996,74.430000,3896200
2023-10-09,77.129997,77.400002,76.230003,76.760002,6892100
2023-10-10,76.709999,77.190002,76.190002,77.190002,4237600
2023-10-11,75.669998,76.400002,74.760002,76.190002,6048300
2023-10-12,75.419998,76.610001,74.620003,76.580002,4244100
2023-10-13,78.989998,79.180000,77.160004,77.709999,6765100
2023-10-16,78.389999,78.889999,77.870003,78.629997,5156200
2023-10-17,78.800003,78.879997,77.400002,77.980003,3914400
2023-10-18,79.839996,80.360001,79.320000,79.720001,4647300
2023-10-19,81.680000,81.750000,78.940002,79.370003,5924400
2023-10-20,80.699997,81.980003,80.169998,81.589996,4664700
2023-10-23,78.889999,80.269997,78.349998,80.220001,4607100
2023-10-24,76.930000,78.220001,76.309998,78.040001,6629600
2023-10-25,78.459999,78.730003,75.639999,77.110001,6116800
2023-10-26,76.889999,77.589996,76.489998,76.830002,3518500
2023-10-27,78.360001,78.980003,76.580002,77.620003,5522600
2023-10-30,76.050003,77.580002,75.360001,77.239998,5929500
2023-10-31,75.019997,77.019997,74.559998,76.209999,4604000
2023-11-01,74.750000,76.720001,74.239998,76.660004,4143000
2023-11-02,76.180000,76.529999,74.790001,74.910004,4191600
2023-11-03,74.849998,76.410004,74.139999,75.290001,5054500
2023-11-06,74.910004,76.089996,74.769997,75.889999,2764300
2023-11-07,71.800003,73.150002,71.610001,72.989998,7413600
2023-11-08,70.190002,71.669998,69.650002,71.269997,7264500
2023-11-09,70.250000,71.660004,70.139999,70.750000,4327700
2023-11-10,71.790001,72.220001,71.120003,71.309998,3754400
2023-11-13,72.919998,72.959999,71.769997,71.809998,3075600
2023-11-14,72.690002,74.040001,72.360001,73.230003,2688500
2023-11-15,71.339996,72.379997,71.180000,71.809998,5002800
2023-11-16,68.050003,69.709999,67.449997,69.610001,6745900
2023-11-17,70.750000,70.949997,69.139999,69.139999,5921000
2023-11-20,72.300003,73.070000,71.940002,72.180000,3985400
2023-11-21,72.529999,72.589996,71.750000,72.059998,2543500
2023-11-22,71.610001,71.900002,68.809998,69.279999,5283900
2023-11-24,70.820000,71.860001,70.750000,70.949997,1453900
2023-11-27,69.959999,71.089996,69.540001,70.300003,4633000
2023-11-28,71.260002,71.830002,70.239998,70.639999,2508200
2023-11-29,72.519997,72.870003,70.599998,72.120003,4573000
2023-11-30,70.139999,74.209999,70.029999,73.500000,9702200
2023-12-01,69.239998,71.589996,69.040001,70.930000,4354500
2023-12-04,68.470001,69.769997,67.870003,68.660004,5104000
2023-12-05,67.580002,69.239998,67.470001,68.739998,4833500
2023-12-06,64.760002,66.349998,64.610001,65.980003,9506200
2023-12-07,65.110001,65.739998,64.349998,65.650002,4561900
2023-12-08,66.529999,66.900002,65.919998,66.110001,4055500
2023-12-11,66.800003,67.029999,65.980003,66.500000,2589200
2023-12-12,64.250000,65.059998,63.840000,64.930000,7103800
2023-12-13,65.330002,65.349998,64.339996,64.419998,3575200
2023-12-14,67.160004,67.800003,66.900002,66.949997,5062800
2023-12-15,67.150002,67.320000,65.879997,67.190002,3451100
2023-12-18,68.089996,69.580002,67.550003,68.889999,5558900
2023-12-19,69.360001,69.430000,68.260002,68.300003,4039100
2023-12-20,68.790001,70.300003,68.660004,70.150002,5252100
2023-12-21,69.029999,69.080002,68.129997,68.129997,3290400
2023-12-22,68.690002,69.959999,68.489998,69.629997,4301900
2023-12-26,70.209999,71.099998,70.110001,70.519997,4996900
2023-12-27,68.919998,70.169998,68.900002,70.019997,3785600
2023-12-28,67.180000,68.940002,66.970001,68.349998,5754500
2023-12-29,66.650002,67.750000,66.629997,67.680000,3305500
2024-01-02,65.769997,67.559998,65.480003,67.559998,7908600
2024-01-03,68.190002,68.360001,66.720001,66.919998,7136800
2024-01-04,67.570000,68.389999,66.400002,68.190002,5001000
2024-01-05,69.029999,69.320000,68.360001,68.830002,4996500
2024-01-08,66.400002,66.489998,65.540001,66.070000,6270300
2024-01-09,67.389999,67.949997,66.709999,67.300003,4394100
2024-01-10,66.559998,68.680000,66.339996,68.269997,6307700
2024-01-11,67.650002,68.919998,67.110001,68.349998,7436400
2024-01-12,68.019997,69.809998,67.570000,69.379997,7198800
2024-01-16,67.250000,68.250000,67.110001,68.089996,4904800
2024-01-17,67.940002,67.959999,66.279999,66.480003,4463000
2024-01-18,69.059998,69.309998,67.790001,68.360001,4685900
2024-01-19,68.820000,69.720001,68.209999,69.410004,4668900
2024-01-22,69.690002,70.500000,68.720001,68.879997,4992500
2024-01-23,69.660004,70.330002,69.120003,69.339996,3164800
