lambda1,delta_lambda,q_stop,regime,reason,rs_value,date
7.105427357601002e-15,0.6095524575623315,0.02,Degenerate,gap,0.9834247477944572,2009-04-29
2.1316282072803006e-14,0.4793718016791128,0.02,Degenerate,gap,0.9869414564088352,2009-04-30
6.394884621840902e-14,0.5008963068607443,0.02,Degenerate,gap,0.986359125490739,2009-05-01
0.0,0.5297304323754142,0.02,Degenerate,gap,0.985579576140553,2009-05-04
0.0,0.4704984632665582,0.02,Degenerate,gap,0.9871816186396748,2009-05-05
2.1316282072803006e-14,0.4655008740547647,0.02,Degenerate,gap,0.9873169071173135,2009-05-06
1.4948178628770772e-14,0.39757150667387253,0.02,Degenerate,gap,0.9891576456894093,2009-05-07
0.0,0.39946851013558476,0.02,Degenerate,gap,0.9891061944575356,2009-05-08
9.992007221626409e-16,0.3905227186447024,0.02,Degenerate,gap,0.9893488489838023,2009-05-11
2.819716627521449e-14,0.24364335381003438,0.02,Degenerate,gap,0.9933414740309746,2009-05-12
1.4210854715202004e-14,0.44094040490626574,0.02,Degenerate,gap,0.9879820468888763,2009-05-13
0.0,0.43766569306729597,0.02,Degenerate,gap,0.9880707655702621,2009-05-14
0.0,0.6158518854126739,0.02,Degenerate,gap,0.9832548928599276,2009-05-15
3.688239638942795e-114,0.7215255239927129,0.02,Degenerate,gap,0.9804099263510259,2009-05-18
0.0,0.46812245025593724,0.02,Degenerate,gap,0.9872459367770596,2009-05-19
2.842170943040401e-14,0.39973912858645155,0.02,Degenerate,gap,0.9890988548616094,2009-05-20
0.0,0.2978747709505043,0.02,Degenerate,gap,0.9918654273559039,2009-05-21
0.0,0.22201996985516842,0.02,Degenerate,gap,0.9939306220516759,2009-05-22
0.0,0.5052294789848654,0.02,Degenerate,gap,0.9862419360062444,2009-05-26
3.524426279075446e-14,0.5531588853354016,0.02,Degenerate,gap,0.9849466263617273,2009-05-27
0.0,0.5604880309403343,0.02,Degenerate,gap,0.9847487035533143,2009-05-28
0.0,0.7472657228900712,0.02,Degenerate,gap,0.9797181913035232,2009-05-29
0.0,0.7957833560790796,0.05,Degenerate,gap,0.9784156684224538,2009-06-01
0.0,0.8745208874267161,0.05,Degenerate,gap,0.9763055351243396,2009-06-02
2.4868995751603507e-14,0.8027930507934681,0.05,Degenerate,gap,0.978227626707653,2009-06-03
0.0,0.8690217763470466,0.05,Degenerate,gap,0.9764527610943302,2009-06-04
7.895837954013762e-15,0.22559331588480877,0.02,Degenerate,gap,0.9938332390167397,2009-06-05
2.5766773915177915e-14,0.7277282579953636,0.05,Degenerate,gap,0.9802431911253097,2009-06-08
0.0,0.7433742077509332,0.05,Degenerate,gap,0.9798227394901861,2009-06-09
0.0,0.6623795888498017,0.05,Degenerate,gap,0.9820012490480852,2009-06-10
1.616745939408517e-16,0.7906824396892285,0.05,Degenerate,gap,0.9785525280687758,2009-06-11
0.0,0.7015787744931063,0.05,Degenerate,gap,0.9809463056937844,2009-06-12
0.0,0.8516935374046378,0.05,Degenerate,gap,0.9769168298006781,2009-06-15
0.0,0.7775192872943258,0.05,Degenerate,gap,0.9789057892108788,2009-06-16
0.0,0.4229511377285744,0.05,Degenerate,gap,0.9884695114849958,2009-06-17
0.0,0.5450756544764368,0.05,Degenerate,gap,0.9851649592937339,2009-06-18
5.789545456893454e-16,0.5873588092035814,0.05,Degenerate,gap,0.9840234011541238,2009-06-19
0.0,0.5625363326538043,0.05,Degenerate,gap,0.9846933964915413,2009-06-22
0.0,0.5965540519822845,0.05,Degenerate,gap,0.9837753236899068,2009-06-23
0.0,0.5718492950266569,0.05,Degenerate,gap,0.9844419724170911,2009-06-24
0.0,0.5102869612982759,0.05,Degenerate,gap,0.9861051753545613,2009-06-25
0.0,0.5301927192613678,0.05,Degenerate,gap,0.9855670829330555,2009-06-26
0.0,0.5015216504044171,0.05,Degenerate,gap,0.9863422123816248,2009-06-29
